,Mean,,,,,Std,,,,
Algorithm,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Accuracy,Precision,Sensitivity,Specificity,F1 Score
PCA 100%,"0,9501551687","0,9836509642","0,9487307987","0,9548755957","0,9658446007","0,0068448438","0,0070519002","0,0073156674","0,0182340936","0,0047028880"
PCA  75%,"0,9501551687","0,9836509642","0,9487307987","0,9548755957","0,9658446007","0,0068448438","0,0070519002","0,0073156674","0,0182340936","0,0047028880"
PCA  50%,"0,9501551687","0,9836509642","0,9487307987","0,9548755957","0,9658446007","0,0068448438","0,0070519002","0,0073156674","0,0182340936","0,0047028880"
PCA  25%,"0,9505383105","0,9836588535","0,9492376769","0,9548755957","0,9661129775","0,0066179325","0,0070498556","0,0068945495","0,0182340936","0,0045647627"
Filter 100%,"0,9501551687","0,9836509642","0,9487307987","0,9548755957","0,9658446007","0,0068448438","0,0070519002","0,0073156674","0,0182340936","0,0047028880"
Filter 75%,"0,9501577426","0,9828498958","0,9495327949","0,9525882908","0,9658796835","0,0098324457","0,0069866327","0,0092526107","0,0177831269","0,0066810307"
Filter 50%,"0,9447864040","0,9760279879","0,9490570446","0,9332345015","0,9623075418","0,0117176780","0,0065472689","0,0130715688","0,0155893973","0,0080631839"
Filter 25%,"0,9095097845","0,9609983061","0,9154956886","0,8930023476","0,9376094131","0,0085959116","0,0102245957","0,0111073009","0,0255392403","0,0058513694"
Filter 5,"0,9166089380","0,9463004316","0,9412912851","0,8451993394","0,9437203196","0,0114980745","0,0099402832","0,0121476104","0,0278439537","0,007675972212"
Filter 10,"0,9422945117","0,9610536182","0,9614865291","0,8877735980","0,9611828353","0,0107803730","0,0104048381","0,0125704031","0,0279858506","0,007103332535"
Filter 15,"0,9497712916","0,9696339125","0,9627762161","0,9126543913","0,9661275196","0,0117728507","0,0101538749","0,0119546392","0,0283725728","0,007781532617"
