Algorithm,Accuracy,Precision,Sensitivity,Specificity,F1 Score
Forest 10 Tree Without,"0,9432486892","0,9608325633","0,9626937142","0,8868152180","0,9617244549"
Forest 20 Tree Without,"0,9524529162","0,9627032640","0,9735844949","0,8911204191","0,9680992532"
Forest 30 Tree Without,"0,9524518131","0,9599311316","0,9767498390","0,8825271103","0,9682432492"
Forest 40 Tree Without,"0,9549426023","0,9608344860","0,9793289205","0,8842163773","0,9699618957"
Forest 50 Tree Without,"0,9543689927","0,9617348862","0,9775441339","0,8876369741","0,9695328293"
Forest 10 Tree Normal,"0,9455523198","0,9638778493","0,9628865365","0,8953040909","0,9633515117"
Forest 20 Tree Normal,"0,9509192461","0,9627300233","0,9717767640","0,8909661478","0,9671731329"
Forest 30 Tree Normal,"0,9551396886","0,9667012972","0,9732899109","0,9029574821","0,9699194076"
Forest 40 Tree Normal,"0,9557132982","0,9634162743","0,9776757588","0,8929590281","0,9704302141"
Forest 50 Tree Normal,"0,9528367934","0,9611442299","0,9761064405","0,8860483973","0,9685013208"
Forest 10 Tree Standard,"0,9415234481","0,9572264351","0,9644634458","0,8754921493","0,9607960196"
Forest 20 Tree Standard,"0,9480401674","0,9551999972","0,9757657043","0,8682605374","0,9653484817"
Forest 30 Tree Standard,"0,9555202565","0,9602029365","0,9806371407","0,8839084538","0,9702843205"
Forest 40 Tree Standard,"0,9551367470","0,9614317109","0,9788117882","0,8866916165","0,9700538803"
Forest 50 Tree Standard,"0,9564773755","0,9628854149","0,9790777343","0,8912072523","0,9708967042"
1 neighbour Without,"0,9298284319","0,9367478052","0,9710535854","0,8107693230","0,9535671929"
2 neighbour Without,"0,9355796030","0,9660620010","0,9466126002","0,9037089662","0,9561861287"
3 neighbour Without,"0,9348144226","0,9389122803","0,9757744183","0,8169290819","0,9569438041"
4 neighbour Without,"0,9422904671","0,9563448284","0,9665000520","0,8725514829","0,9613612581"
5 neighbour Without,"0,9363480927","0,9379445103","0,9791214670","0,8130218640","0,9580583065"
6 neighbour Without,"0,9438252403","0,9507230525","0,9749890484","0,8536181643","0,9626762264"
7 neighbour Without,"0,9392238622","0,9383886964","0,9827460748","0,8135761154","0,9600288987"
8 neighbour Without,"0,9440171789","0,9473090939","0,9791131252","0,8425739727","0,9629283994"
9 neighbour Without,"0,9390344975","0,9372904086","0,9837666869","0,8097906292","0,9599377169"
10 neighbour Without,"0,9413337157","0,9426886154","0,9806802115","0,8277777503","0,9612779033"
1 neighbour Normal,"0,9399963966","0,9697685848","0,9490822851","0,9132314215","0,9592866759"
2 neighbour Normal,"0,9256131371","0,9861322534","0,9129351453","0,9626808387","0,9480711343"
3 neighbour Normal,"0,9511133908","0,9770743559","0,9567413629","0,9348423084","0,9667814181"
4 neighbour Normal,"0,9407604739","0,9834724604","0,9360601416","0,9546110498","0,9591387766"
5 neighbour Normal,"0,9528389996","0,9788540012","0,9573024038","0,9405228246","0,9679325962"
6 neighbour Normal,"0,9474706025","0,9833257454","0,9454009692","0,9540083219","0,9639552399"
7 neighbour Normal,"0,9553305241","0,9789485857","0,9605863398","0,9405670788","0,9696543305"
8 neighbour Normal,"0,9501551687","0,9836509642","0,9487307987","0,9548755957","0,9658446007"
9 neighbour Normal,"0,9536056508","0,9774002930","0,9598323018","0,9358929076","0,9685152124"
10 neighbour Normal,"0,9495811915","0,9816001517","0,9500483358","0,9484278919","0,9655485837"
1 neighbour Standard,"0,9313694560","0,9474133538","0,9611820948","0,8452503032","0,9541934486"
2 neighbour Standard,"0,9353909737","0,9752952183","0,9369259231","0,9317036912","0,9556731426"
3 neighbour Standard,"0,9468947868","0,9547706473","0,9747273412","0,8660275523","0,9646142399"
4 neighbour Standard,"0,9495797207","0,9693625595","0,9626917272","0,9115287625","0,9659825487"
5 neighbour Standard,"0,9484317662","0,9539522086","0,9778133482","0,8629812337","0,9657094540"
6 neighbour Standard,"0,9524558578","0,9646756307","0,9716894835","0,8963298546","0,9681513153"
7 neighbour Standard,"0,9488134372","0,9532690752","0,9790814334","0,8605967071","0,9659789776"
8 neighbour Standard,"0,9539865864","0,9642602729","0,9742194502","0,8949396618","0,9691836922"
9 neighbour Standard,"0,9484280892","0,9537090104","0,9780425341","0,8620672057","0,9656952937"
10 neighbour Standard,"0,9526459579","0,9620388338","0,9746823790","0,8886860813","0,9682879025"
10 Without (10 épocas),"0,7429008464","0,7429008464",1,0,"0,8524339679"
